Strain,4-Aminobutyrate,Acetate,Acetoin,Acetone,Alanine,Butyrate,Citrate,Ethanol,Formate,Fumarate,Glucose,Glycerol,Glycylproline,Malate,Maltose,Methanol,Pyruvate,Succinate,Valine,acetaldehyde_hydrate_ifr,acetaldehyde_ifr,ethyl acetate
3318,0.240533333,0.903,0.0206,0.0255,0.050233333,0.208666667,0.437533333,197.8948667,0.0108,0.0103,1.226433333,5.943766667,1.1463,0.850833333,19.9016,0.589966667,0.333,0.600166667,0.058066667,1.148233333,0.045933333,0.0377
3319,0.184966667,1.196,0.0228,0.0728,0.042933333,0.2263,0.440566667,203.1077333,0.012766667,0.010033333,1.179133333,4.578666667,1.062233333,0.611066667,13.87783333,0.628933333,0.369933333,0.6016,0.0697,1.341833333,0.048133333,0.0546
3324,0.175933333,0.0828,0.0163,0.007,0.378533333,0.1379,0.566266667,79.18106667,0.069433333,0.004866667,1.6469,9.625533333,1.125066667,0.2923,81.52673333,0.652533333,0.146766667,0.094033333,0.1662,1.1896,0.008666667,0.1538
3325,0.110766667,0.217,0.018733333,0.0037,0.165666667,0.1776,0.572366667,184.4962,0.024233333,0.0043,1.278566667,10.08563333,1.074333333,0.318766667,36.3018,0.666533333,0.214666667,0.157966667,0.111966667,1.715433333,0.016833333,0.0763
3326,0.1128,0.573,0.0201,0.0064,0.0381,0.19275,0.78815,209.66015,0.00955,0.0057,1.0443,8.10895,0.9999,0.52045,16.67665,0.66815,0.1829,0.3963,0.07645,1.27275,0.01695,0.0532
3331,0.133033333,0.623633333,0.0214,0.005833333,0.039266667,0.255,0.887666667,205.7419667,0.0107,0.009766667,1.294566667,11.14243333,1.155433333,0.6158,23.00626667,0.6602,0.286933333,0.503333333,0.070566667,1.415033333,0.029766667,0.102166667
3333,0.162725,0.2713,0.018475,0.004725,0.275475,0.16375,0.605825,168.404425,0.047075,0.008575,1.5374,11.268825,1.17405,0.365425,55.6785,0.66705,0.160525,0.210075,0.140525,1.4187,0.023425,0.06385
3334,0.2213,0.871633333,0.021033333,0.005333333,0.153466667,0.212833333,0.624433333,218.5198333,0.0221,0.002833333,1.1412,12.47093333,1.1499,0.439433333,28.7867,0.6828,0.302733333,0.2541,0.0797,1.2756,0.024133333,0.095766667
3338,0.225166667,1.2135,0.020533333,0.0064,0.239333333,0.206166667,0.646466667,213.1785333,0.013466667,0.004266667,1.4869,12.1911,1.014733333,0.481966667,39.13893333,0.686,0.244166667,0.379,0.133733333,1.271233333,0.035166667,0.0782
3339,0.180833333,1.0519,0.022733333,0.009266667,0.118633333,0.2233,0.670466667,236.1232667,0.0103,0.008033333,1.878166667,12.535,1.283933333,0.600766667,29.87736667,0.7068,0.201866667,0.505366667,0.116966667,1.280166667,0.0358,0.087566667
